Title,URL
"Biggest Russian bombardment of war kills 30 in Ukraine","https://www.bbc.com/news/world-europe-67843312"
"Top Maine election official defends Trump decision","https://www.bbc.com/news/world-us-canada-67842012"
"Switzerland's surprising New Year's fondue","https://www.bbc.com/travel/article/20231229-fondue-chinoise-switzerlands-asian-inspired-hot-pot"
"Surfers ride huge California waves despite storm warnings","https://www.bbc.com/news/world-us-canada-67845251"
"The silent killer stalking Australia's summer","https://www.bbc.com/news/world-australia-67633892"
"The rise of the ‘no-wash’ movement","https://www.bbc.com/culture/article/20230529-the-people-who-dont-wash-their-clothes"
"Why 2023 was an uncomfortable year for the West","https://www.bbc.com/news/world-67845056"
"The cork destined for the Moon","https://www.bbc.com/future/article/20231228-champagne-stoppers-in-space-how-cork-will-protect-the-next-spacecraft-to-visit-the-moon"
"L'Oréal heiress first woman to amass $100bn fortune","https://www.bbc.com/news/business-67838422"
"The seven biggest work trends of 2023","https://www.bbc.com/worklife/article/20231219-the-seven-biggest-work-trends-of-2023"
"An exclusive peek in the world of Spiritualism","https://www.bbc.com/reel/video/p0dl7lpb/an-exclusive-peek-in-the-world-of-spiritualism"
"Surfers ride huge California waves despite storm warnings","https://www.bbc.com/news/world-us-canada-67845251"
"Diangana gives West Brom win over Leeds","https://www.bbc.com/sport/football/67798476"
"The seven biggest work trends of 2023","https://www.bbc.com/worklife/article/20231219-the-seven-biggest-work-trends-of-2023"
"33 of the best books of 2023","https://www.bbc.com/culture/article/20230420-12-of-the-best-books-of-the-year-so-far-2023"
"Five of the best karaoke venues in Seoul","https://www.bbc.com/travel/article/20231228-a-tour-of-seouls-five-best-karaoke-venues-with-singer-neon-bunny"
"How humans have changed the Earth’s surface in 2023","https://www.bbc.com/future/article/20231222-how-humans-have-changed-earths-surface-in-2023"
